Sex,Age,Class,Survived,Sibling/Spouse
male,13,1,0,0
male,17,3,0,1
male,37,3,1,0
male,28,3,0,0
female,25,3,1,0
male,44,1,0,0
male,21,3,0,0
female,31,2,0,1
female,32,2,1,0
male,34,3,1,1
male,15,3,1,0
male,12,2,1,1
male,3,3,0,0
male,46,1,1,0
female,40,2,0,1
female,34,3,0,0
female,25,1,0,0
male,16,1,0,1
male,39,3,0,1
male,15,3,1,1
female,45,3,0,0
male,37,3,0,2
male,20,2,0,0
male,13,3,0,0
male,32,2,1,1
male,29,2,1,0
female,16,3,0,0
male,20,1,0,0
male,27,3,0,0
female,43,1,1,0
male,36,3,0,0
male,28,3,0,0
male,29,2,1,0
female,28,2,0,0
male,45,3,0,1
male,23,3,1,1
female,24,1,0,0
female,29,3,0,2
male,13,2,1,1
male,19,3,1,1
female,27,3,1,2
female,18,2,1,0
male,27,3,1,0
female,32,2,0,0
male,14,3,0,1
male,26,3,0,2
male,58,3,0,0
male,35,3,0,0
male,26,3,0,0
female,43,3,0,1
male,34,3,0,0
female,34,2,1,0
male,21,3,0,0
female,25,3,0,2
female,47,3,1,0
female,28,1,0,0
female,42,3,1,0
male,40,3,0,0
female,13,3,1,0
male,47,3,0,0
male,32,1,0,1
female,34,3,0,5
female,25,2,0,1
female,40,2,1,1
female,13,1,1,1
male,43,1,1,0
female,30,2,1,0
female,23,1,0,1
female,40,1,0,0
female,17,3,0,1
female,35,3,1,0
female,45,2,1,1
female,25,2,0,0
male,45,2,0,1
male,35,3,0,1
male,32,3,1,2
male,46,3,0,1
female,34,3,0,1
male,44,3,0,0
male,26,3,1,0
female,41,1,1,1
female,38,3,1,1
male,27,3,1,1
male,15,3,0,0
male,37,3,0,1
male,15,3,0,1
male,10,2,0,1
male,39,2,0,0
male,23,3,1,0
male,27,3,1,0
female,35,3,0,1
male,24,1,1,1
male,30,2,1,2
male,42,3,0,0
male,23,3,0,0
male,29,2,0,0
female,21,3,1,0
male,27,1,1,1
female,34,3,0,0
male,23,1,0,1
male,14,3,1,0
female,19,3,0,2
female,34,3,0,0
female,22,3,0,0
male,23,3,0,0
male,35,2,1,0
male,14,1,1,0
male,54,3,1,2
male,23,3,0,0
male,22,1,0,0
male,40,2,0,0
male,39,3,1,2
male,33,3,0,1
male,39,3,0,1
male,22,1,0,0
male,15,3,0,2
male,37,2,1,0
female,24,1,1,0
female,13,1,1,1
female,18,3,0,1
female,40,2,0,3
female,26,2,1,1
female,35,1,0,1
male,35,1,0,0
male,44,3,0,0
female,48,1,0,0
male,22,2,0,1
female,24,3,1,0
male,40,3,0,0
male,35,3,1,0
male,42,3,1,1
female,10,1,0,2
female,25,3,1,1
male,36,1,1,0
female,18,3,0,0
male,30,2,1,0
female,32,2,0,0
male,16,1,0,1
female,28,3,1,0
female,27,2,0,1
male,29,2,1,0
male,28,2,0,0
male,38,1,0,0
male,38,3,1,1
male,32,3,1,2
female,26,2,0,0
male,17,3,1,1
female,40,1,0,0
male,9,2,0,1
male,7,3,0,2
male,22,3,1,0
male,37,1,1,0
male,26,3,0,0
male,45,2,1,0
male,23,1,0,1
female,12,1,0,0
male,39,1,0,0
male,19,2,0,0
female,18,2,1,1
female,31,3,0,0
male,28,1,1,0
male,12,1,0,0
female,48,2,1,0
female,35,1,1,2
female,22,3,1,0
male,27,1,1,1
male,31,2,1,1
female,14,3,0,0
female,20,2,0,2
male,29,2,0,0
male,20,3,1,2
female,29,3,1,2
male,22,1,0,1
male,42,3,1,0
male,39,3,0,0
male,33,1,1,0
male,24,2,0,0
male,17,2,0,1
female,31,3,1,0
female,39,3,0,0
female,41,1,0,0
male,27,2,1,1
male,39,1,0,0
male,21,3,0,1
male,43,2,0,0
female,1,3,0,1
male,43,3,0,3
male,26,1,0,2
female,29,1,0,0
male,36,2,0,1
female,35,1,1,0
male,28,3,1,1
female,22,1,0,1
male,16,3,0,0
male,28,1,1,1
female,32,3,0,0
male,43,1,0,3
female,19,2,1,1
female,43,1,1,0
female,38,2,0,1
male,34,3,1,1
male,13,3,0,1
male,51,1,0,0
male,12,3,1,0
female,29,3,0,0
female,22,3,1,2
male,30,3,0,0
female,50,2,0,0
male,17,3,1,2
male,31,1,1,1
male,29,3,1,1
male,29,2,0,1
male,21,1,0,1
male,37,2,0,0
female,26,2,0,0
male,9,3,1,0
female,28,3,0,0
male,34,1,1,2
female,5,2,1,2
male,37,1,0,0
female,21,3,0,0
male,30,3,0,0
male,36,3,0,2
male,32,3,0,0
male,24,3,0,1
male,40,3,0,1
male,18,3,0,0
male,32,3,1,1
male,18,3,0,0
female,26,1,0,1
male,32,3,0,0
female,31,1,1,1
male,16,3,1,0
female,29,1,0,0
male,36,2,1,2
female,45,2,1,0
female,31,1,1,0
male,27,1,1,0
male,37,1,0,0
male,39,3,1,1
male,29,3,1,0
female,45,1,1,0
male,42,3,0,0
female,38,1,0,1
male,38,3,0,0
female,38,1,0,0
female,20,2,0,1
male,35,2,1,1
female,33,3,0,1
female,36,3,0,1
female,37,3,0,1
